frame_received_at,num_of_descriptors_extracted,extraction_time_ms,detection_ended_at,detection_time_ms,id_of_detected_object,detection_received_at,result_delay_ms
2021-06-30 14:10:41.192,446,17,2021-06-30 14:10:41.258,72,,2021-06-30 14:10:41.260,2.0
2021-06-30 14:10:41.280,454,6,2021-06-30 14:10:41.335,55,,2021-06-30 14:10:41.337,2.0
2021-06-30 14:10:41.385,453,6,2021-06-30 14:10:41.439,54,,2021-06-30 14:10:41.442,3.0
2021-06-30 14:10:41.490,456,5,2021-06-30 14:10:41.546,57,,2021-06-30 14:10:41.548,2.0
2021-06-30 14:10:41.595,464,6,2021-06-30 14:10:41.661,66,,2021-06-30 14:10:41.663,2.0
2021-06-30 14:10:41.700,465,6,2021-06-30 14:10:41.766,66,,2021-06-30 14:10:41.768,2.0
2021-06-30 14:10:41.805,449,6,2021-06-30 14:10:41.858,53,,2021-06-30 14:10:41.861,3.0
2021-06-30 14:10:41.907,458,6,2021-06-30 14:10:41.972,65,,2021-06-30 14:10:41.975,3.0
2021-06-30 14:10:42.007,461,6,2021-06-30 14:10:42.072,66,,2021-06-30 14:10:42.075,3.0
2021-06-30 14:10:42.107,467,6,2021-06-30 14:10:42.174,67,,2021-06-30 14:10:42.177,3.0
2021-06-30 14:10:42.207,458,6,2021-06-30 14:10:42.272,65,,2021-06-30 14:10:42.274,2.0
2021-06-30 14:10:42.307,463,6,2021-06-30 14:10:42.372,66,,2021-06-30 14:10:42.375,3.0
2021-06-30 14:10:42.407,456,6,2021-06-30 14:10:42.472,65,,2021-06-30 14:10:42.474,2.0
2021-06-30 14:10:42.508,459,6,2021-06-30 14:10:42.574,67,,2021-06-30 14:10:42.579,5.0
2021-06-30 14:10:42.607,458,7,2021-06-30 14:10:42.673,66,,2021-06-30 14:10:42.675,2.0
2021-06-30 14:10:42.707,459,6,2021-06-30 14:10:42.761,54,,2021-06-30 14:10:42.763,2.0
2021-06-30 14:10:42.808,453,5,2021-06-30 14:10:42.873,66,,2021-06-30 14:10:42.876,3.0
2021-06-30 14:10:42.908,460,6,2021-06-30 14:10:42.972,65,,2021-06-30 14:10:42.975,3.0
2021-06-30 14:10:43.007,454,6,2021-06-30 14:10:43.073,67,,2021-06-30 14:10:43.075,2.0
2021-06-30 14:10:43.107,456,6,2021-06-30 14:10:43.162,55,,2021-06-30 14:10:43.164,2.0
2021-06-30 14:10:43.207,456,6,2021-06-30 14:10:43.264,57,,2021-06-30 14:10:43.266,2.0
2021-06-30 14:10:43.307,451,6,2021-06-30 14:10:43.372,66,,2021-06-30 14:10:43.374,2.0
