timestamp,protocol,src_addr,src_port,dst_addr,dst_port,length_B
2021-06-25 16:29:02.133790,TCP,192.168.1.7,22,192.168.1.9,47562,594
2021-06-25 16:29:02.177268,TCP,192.168.1.9,47562,192.168.1.7,22,66
2021-06-25 16:29:02.179283,TCP,192.168.1.7,22,192.168.1.9,47562,130
2021-06-25 16:29:02.179313,TCP,192.168.1.9,47562,192.168.1.7,22,66
2021-06-25 16:29:02.180585,TCP,192.168.1.9,47562,192.168.1.7,22,162
2021-06-25 16:29:02.182213,TCP,192.168.1.7,22,192.168.1.9,47562,66
2021-06-25 16:29:02.185511,TCP,192.168.1.7,22,192.168.1.9,47562,114
2021-06-25 16:29:02.185541,TCP,192.168.1.9,47562,192.168.1.7,22,66
2021-06-25 16:29:02.186555,TCP,192.168.1.9,47562,192.168.1.7,22,242
2021-06-25 16:29:02.189530,TCP,192.168.1.7,22,192.168.1.9,47562,178
2021-06-25 16:29:02.189579,TCP,192.168.1.9,47562,192.168.1.7,22,66
2021-06-25 16:29:03.977381,TCP,192.168.1.7,22,192.168.1.9,47562,226
2021-06-25 16:29:03.977381,TCP,192.168.1.7,22,192.168.1.9,47562,210
2021-06-25 16:29:03.977381,TCP,192.168.1.7,22,192.168.1.9,47562,210
2021-06-25 16:29:03.977427,TCP,192.168.1.9,47562,192.168.1.7,22,66
2021-06-25 16:29:03.977460,TCP,192.168.1.9,47562,192.168.1.7,22,66
2021-06-25 16:29:03.977471,TCP,192.168.1.9,47562,192.168.1.7,22,78
2021-06-25 16:29:04.039553,TCP,192.168.1.7,22,192.168.1.9,47562,178
2021-06-25 16:29:04.039585,TCP,192.168.1.9,47562,192.168.1.7,22,66
2021-06-25 16:29:04.040679,TCP,192.168.1.7,22,192.168.1.9,47562,194
2021-06-25 16:29:04.040702,TCP,192.168.1.9,47562,192.168.1.7,22,66
2021-06-25 16:29:06.946851,TCP,192.168.1.7,22,192.168.1.9,47562,178
2021-06-25 16:29:06.946852,TCP,192.168.1.7,22,192.168.1.9,47562,306
2021-06-25 16:29:06.946852,TCP,192.168.1.7,22,192.168.1.9,47562,306
2021-06-25 16:29:06.946885,TCP,192.168.1.9,47562,192.168.1.7,22,66
2021-06-25 16:29:06.946931,TCP,192.168.1.9,47562,192.168.1.7,22,66
2021-06-25 16:29:06.946942,TCP,192.168.1.9,47562,192.168.1.7,22,78
2021-06-25 16:29:07.151171,TCP,192.168.1.7,50946,192.168.1.9,22,74
2021-06-25 16:29:07.151217,TCP,192.168.1.9,22,192.168.1.7,50946,74
2021-06-25 16:29:07.153012,TCP,192.168.1.7,50946,192.168.1.9,22,66
2021-06-25 16:29:07.153654,TCP,192.168.1.7,50946,192.168.1.9,22,90
2021-06-25 16:29:07.153679,TCP,192.168.1.9,22,192.168.1.7,50946,66
2021-06-25 16:29:07.161865,TCP,192.168.1.9,22,192.168.1.7,50946,107
2021-06-25 16:29:07.163659,TCP,192.168.1.7,50946,192.168.1.9,22,66
2021-06-25 16:29:07.163677,TCP,192.168.1.9,22,192.168.1.7,50946,1146
2021-06-25 16:29:07.166094,TCP,192.168.1.7,50946,192.168.1.9,22,66
2021-06-25 16:29:07.166094,TCP,192.168.1.7,50946,192.168.1.9,22,706
2021-06-25 16:29:07.166119,TCP,192.168.1.9,22,192.168.1.7,50946,66
2021-06-25 16:29:07.167982,TCP,192.168.1.7,50946,192.168.1.9,22,90
2021-06-25 16:29:07.167999,TCP,192.168.1.9,22,192.168.1.7,50946,66
2021-06-25 16:29:07.172839,TCP,192.168.1.9,22,192.168.1.7,50946,346
2021-06-25 16:29:07.174549,TCP,192.168.1.7,50946,192.168.1.9,22,66
2021-06-25 16:29:07.250829,TCP,192.168.1.7,50946,192.168.1.9,22,338
2021-06-25 16:29:07.250859,TCP,192.168.1.9,22,192.168.1.7,50946,66
2021-06-25 16:29:07.256537,TCP,192.168.1.9,22,192.168.1.7,50946,914
2021-06-25 16:29:07.258185,TCP,192.168.1.7,50946,192.168.1.9,22,66
2021-06-25 16:29:07.356487,TCP,192.168.1.7,50946,192.168.1.9,22,82
2021-06-25 16:29:07.356505,TCP,192.168.1.9,22,192.168.1.7,50946,66
2021-06-25 16:29:07.366740,TCP,192.168.1.7,50946,192.168.1.9,22,130
2021-06-25 16:29:07.366765,TCP,192.168.1.9,22,192.168.1.7,50946,66
2021-06-25 16:29:07.366919,TCP,192.168.1.9,22,192.168.1.7,50946,130
2021-06-25 16:29:07.368941,TCP,192.168.1.7,50946,192.168.1.9,22,66
