frame_received_at,num_of_descriptors_extracted,extraction_time_ms,detection_ended_at,detection_time_ms,id_of_detected_object,detection_received_at,result_delay_ms
2021-06-25 16:47:48.153,349,36,2021-06-25 16:47:48.297,152,,2021-06-25 16:47:48.297,0.0
2021-06-25 16:47:48.311,350,32,2021-06-25 16:47:48.427,118,,2021-06-25 16:47:48.427,0.0
2021-06-25 16:47:48.441,352,42,2021-06-25 16:47:48.643,205,,2021-06-25 16:47:48.644,1.0
2021-06-25 16:47:48.659,349,31,2021-06-25 16:47:48.784,126,,2021-06-25 16:47:48.785,1.0
2021-06-25 16:47:48.797,351,30,2021-06-25 16:47:48.905,110,,2021-06-25 16:47:48.906,1.0
2021-06-25 16:47:48.921,347,29,2021-06-25 16:47:49.047,127,,2021-06-25 16:47:49.047,0.0
2021-06-25 16:47:49.059,348,32,2021-06-25 16:47:49.163,106,,2021-06-25 16:47:49.164,1.0
2021-06-25 16:47:49.178,347,31,2021-06-25 16:47:49.297,122,,2021-06-25 16:47:49.297,0.0
2021-06-25 16:47:49.310,348,30,2021-06-25 16:47:49.412,103,,2021-06-25 16:47:49.413,1.0
2021-06-25 16:47:49.426,359,28,2021-06-25 16:47:49.523,98,,2021-06-25 16:47:49.523,0.0
2021-06-25 16:47:49.535,353,29,2021-06-25 16:47:49.650,117,,2021-06-25 16:47:49.651,1.0
2021-06-25 16:47:49.664,352,32,2021-06-25 16:47:49.789,128,,2021-06-25 16:47:49.790,1.0
2021-06-25 16:47:49.803,349,36,2021-06-25 16:47:49.913,113,,2021-06-25 16:47:49.913,0.0
2021-06-25 16:47:49.929,354,30,2021-06-25 16:47:50.034,108,,2021-06-25 16:47:50.035,1.0
2021-06-25 16:47:50.050,351,31,2021-06-25 16:47:50.153,105,,2021-06-25 16:47:50.154,1.0
2021-06-25 16:47:50.165,351,31,2021-06-25 16:47:50.260,96,,2021-06-25 16:47:50.263,3.0
2021-06-25 16:47:50.273,348,31,2021-06-25 16:47:50.369,97,,2021-06-25 16:47:50.370,1.0
2021-06-25 16:47:50.382,348,29,2021-06-25 16:47:50.479,99,,2021-06-25 16:47:50.480,1.0
2021-06-25 16:47:50.492,401,31,2021-06-25 16:47:50.596,106,,2021-06-25 16:47:50.596,0.0
2021-06-25 16:47:50.608,452,31,2021-06-25 16:47:50.720,113,,2021-06-25 16:47:51.089,369.0
2021-06-25 16:47:50.732,467,31,2021-06-25 16:47:50.860,130,,2021-06-25 16:47:51.098,238.0
2021-06-25 16:47:50.874,486,32,2021-06-25 16:47:50.997,124,,2021-06-25 16:47:51.105,108.0
2021-06-25 16:47:51.009,500,35,2021-06-25 16:47:51.158,150,,2021-06-25 16:47:51.159,1.0
2021-06-25 16:47:51.174,500,38,2021-06-25 16:47:51.342,171,,2021-06-25 16:47:51.343,1.0
2021-06-25 16:47:51.355,500,39,2021-06-25 16:47:51.532,179,,2021-06-25 16:47:51.533,1.0
2021-06-25 16:47:51.545,500,39,2021-06-25 16:47:51.676,133,,2021-06-25 16:47:51.677,1.0
2021-06-25 16:47:51.689,500,40,2021-06-25 16:47:51.815,127,,2021-06-25 16:47:51.815,0.0
2021-06-25 16:47:51.834,500,38,2021-06-25 16:47:51.986,159,,2021-06-25 16:47:51.987,1.0
2021-06-25 16:47:52.004,500,38,2021-06-25 16:47:52.132,132,,2021-06-25 16:47:52.132,0.0
2021-06-25 16:47:52.144,500,40,2021-06-25 16:47:52.286,143,,2021-06-25 16:47:52.287,1.0
2021-06-25 16:47:52.298,500,37,2021-06-25 16:47:52.426,129,,2021-06-25 16:47:52.427,1.0
2021-06-25 16:47:52.439,500,37,2021-06-25 16:47:52.561,125,,2021-06-25 16:47:52.562,1.0
2021-06-25 16:47:52.575,500,38,2021-06-25 16:47:52.740,167,,2021-06-25 16:47:52.741,1.0
2021-06-25 16:47:52.753,500,39,2021-06-25 16:47:52.897,145,,2021-06-25 16:47:52.898,1.0
2021-06-25 16:47:52.909,500,38,2021-06-25 16:47:53.037,129,,2021-06-25 16:47:53.038,1.0
2021-06-25 16:47:53.050,500,39,2021-06-25 16:47:53.178,130,,2021-06-25 16:47:53.179,1.0
2021-06-25 16:47:53.191,500,40,2021-06-25 16:47:53.320,130,,2021-06-25 16:47:53.321,1.0
2021-06-25 16:47:53.333,500,38,2021-06-25 16:47:53.457,126,,2021-06-25 16:47:53.459,2.0
2021-06-25 16:47:53.471,500,36,2021-06-25 16:47:53.599,130,,2021-06-25 16:47:53.599,0.0
2021-06-25 16:47:53.612,500,37,2021-06-25 16:47:53.776,166,,2021-06-25 16:47:53.776,0.0
2021-06-25 16:47:53.790,500,36,2021-06-25 16:47:53.914,127,,2021-06-25 16:47:53.916,2.0
2021-06-25 16:47:53.928,500,36,2021-06-25 16:47:54.054,127,,2021-06-25 16:47:54.055,1.0
2021-06-25 16:47:54.069,500,36,2021-06-25 16:47:54.196,130,,2021-06-25 16:47:54.197,1.0
2021-06-25 16:47:54.209,500,38,2021-06-25 16:47:54.342,134,,2021-06-25 16:47:54.342,0.0
2021-06-25 16:47:54.355,500,40,2021-06-25 16:47:54.488,135,,2021-06-25 16:47:54.488,0.0
2021-06-25 16:47:54.501,500,37,2021-06-25 16:47:54.629,130,,2021-06-25 16:47:54.630,1.0
