frame_received_at,num_of_descriptors_extracted,extraction_time_ms,detection_ended_at,detection_time_ms,id_of_detected_object,detection_received_at,result_delay_ms
2021-06-30 16:34:25.971,354,7,2021-06-30 16:34:26.017,47,,2021-06-30 16:34:26.019,2.0
2021-06-30 16:34:26.075,360,5,2021-06-30 16:34:26.128,53,,2021-06-30 16:34:26.129,1.0
2021-06-30 16:34:26.179,361,6,2021-06-30 16:34:26.224,45,,2021-06-30 16:34:26.225,1.0
2021-06-30 16:34:26.282,361,6,2021-06-30 16:34:26.335,53,,2021-06-30 16:34:26.337,2.0
2021-06-30 16:34:26.381,362,6,2021-06-30 16:34:26.435,54,,2021-06-30 16:34:26.442,7.0
2021-06-30 16:34:26.482,358,5,2021-06-30 16:34:26.534,53,,2021-06-30 16:34:26.541,7.0
2021-06-30 16:34:26.581,366,6,2021-06-30 16:34:26.635,54,,2021-06-30 16:34:26.642,7.0
2021-06-30 16:34:26.682,358,5,2021-06-30 16:34:26.736,55,,2021-06-30 16:34:26.744,8.0
2021-06-30 16:34:26.781,362,6,2021-06-30 16:34:26.834,53,,2021-06-30 16:34:26.848,14.0
2021-06-30 16:34:26.881,364,6,2021-06-30 16:34:26.934,53,,2021-06-30 16:34:26.943,9.0
2021-06-30 16:34:26.981,361,6,2021-06-30 16:34:27.034,53,,2021-06-30 16:34:27.047,13.0
2021-06-30 16:34:27.081,363,6,2021-06-30 16:34:27.134,54,,2021-06-30 16:34:27.146,12.0
2021-06-30 16:34:27.181,358,6,2021-06-30 16:34:27.233,52,,2021-06-30 16:34:27.236,3.0
2021-06-30 16:34:27.282,359,6,2021-06-30 16:34:27.335,54,,2021-06-30 16:34:27.340,5.0
2021-06-30 16:34:27.381,360,6,2021-06-30 16:34:27.434,53,,2021-06-30 16:34:27.445,11.0
2021-06-30 16:34:27.482,362,5,2021-06-30 16:34:27.535,54,,2021-06-30 16:34:27.545,10.0
2021-06-30 16:34:27.581,356,6,2021-06-30 16:34:27.634,53,,2021-06-30 16:34:27.645,11.0
2021-06-30 16:34:27.682,361,5,2021-06-30 16:34:27.735,54,,2021-06-30 16:34:27.747,12.0
2021-06-30 16:34:27.781,364,6,2021-06-30 16:34:27.834,53,,2021-06-30 16:34:27.848,14.0
2021-06-30 16:34:27.882,352,5,2021-06-30 16:34:27.934,53,,2021-06-30 16:34:27.943,9.0
2021-06-30 16:34:27.981,361,6,2021-06-30 16:34:28.036,55,,2021-06-30 16:34:28.046,10.0
2021-06-30 16:34:28.081,366,6,2021-06-30 16:34:28.134,54,,2021-06-30 16:34:28.143,9.0
2021-06-30 16:34:28.181,352,6,2021-06-30 16:34:28.237,56,,2021-06-30 16:34:28.251,14.0
2021-06-30 16:34:28.282,355,5,2021-06-30 16:34:28.326,45,,2021-06-30 16:34:28.328,2.0
2021-06-30 16:34:28.381,358,6,2021-06-30 16:34:28.434,53,,2021-06-30 16:34:28.455,21.0
2021-06-30 16:34:28.481,362,6,2021-06-30 16:34:28.534,53,,2021-06-30 16:34:28.544,10.0
2021-06-30 16:34:28.581,358,6,2021-06-30 16:34:28.634,54,,2021-06-30 16:34:28.642,8.0
2021-06-30 16:34:28.681,395,6,2021-06-30 16:34:28.739,58,,2021-06-30 16:34:28.748,9.0
2021-06-30 16:34:28.781,450,6,2021-06-30 16:34:28.845,65,,2021-06-30 16:34:28.850,5.0
2021-06-30 16:34:28.881,479,7,2021-06-30 16:34:28.950,70,,2021-06-30 16:34:28.951,1.0
2021-06-30 16:34:28.981,494,6,2021-06-30 16:34:29.053,72,,2021-06-30 16:34:29.054,1.0
2021-06-30 16:34:29.082,495,7,2021-06-30 16:34:29.144,62,,2021-06-30 16:34:29.145,1.0
2021-06-30 16:34:29.182,497,6,2021-06-30 16:34:29.254,73,,2021-06-30 16:34:29.255,1.0
2021-06-30 16:34:29.282,497,7,2021-06-30 16:34:29.354,72,,2021-06-30 16:34:29.355,1.0
2021-06-30 16:34:29.382,500,6,2021-06-30 16:34:29.454,73,,2021-06-30 16:34:29.455,1.0
2021-06-30 16:34:29.482,500,7,2021-06-30 16:34:29.554,73,,2021-06-30 16:34:29.555,1.0
2021-06-30 16:34:29.582,500,7,2021-06-30 16:34:29.654,73,,2021-06-30 16:34:29.656,2.0
