goal_sent_at,goal_sending_delay_ms,goal_processing_s,result_delay_ms
2021-06-30 17:02:32.721,207.429,7.800297,29.274
2021-06-30 17:02:41.769,205.94,10.200037,33.022999999999996
2021-06-30 17:02:53.220,206.674,6.600161,23.165000000000003
2021-06-30 17:03:01.063,206.354,10.800093,1.553
2021-06-30 17:03:13.080,205.903,7.800201,28.896
2021-06-30 17:03:22.126,208.738,11.79967,4.592
2021-06-30 17:03:35.149,206.279,7.600171,25.55
2021-06-30 17:03:43.992,205.983,10.400143,34.874
2021-06-30 17:03:55.643,205.79500000000002,8.000296,27.909
2021-06-30 17:04:04.887,205.296,11.800138,2.5660000000000003
2021-06-30 17:04:17.905,205.85500000000002,7.600114,26.031
2021-06-30 17:04:26.749,6.599,13.80047,8.931
