frame_received_at,num_of_descriptors_extracted,extraction_time_ms,detection_ended_at,detection_time_ms,id_of_detected_object,detection_received_at,result_delay_ms
2021-06-30 17:41:23.606,340,6,2021-06-30 17:41:23.650,45,,2021-06-30 17:41:23.652,2.0
2021-06-30 17:41:23.697,340,6,2021-06-30 17:41:23.742,45,,2021-06-30 17:41:23.743,1.0
2021-06-30 17:41:23.792,342,6,2021-06-30 17:41:23.843,51,,2021-06-30 17:41:23.849,6.0
2021-06-30 17:41:23.887,325,6,2021-06-30 17:41:23.941,54,,2021-06-30 17:41:23.945,4.0
2021-06-30 17:41:23.983,337,6,2021-06-30 17:41:24.033,51,,2021-06-30 17:41:24.035,2.0
2021-06-30 17:41:24.081,339,6,2021-06-30 17:41:24.132,51,,2021-06-30 17:41:24.134,2.0
2021-06-30 17:41:24.182,355,5,2021-06-30 17:41:24.234,53,,2021-06-30 17:41:24.239,5.0
2021-06-30 17:41:24.282,335,5,2021-06-30 17:41:24.332,51,,2021-06-30 17:41:24.336,4.0
2021-06-30 17:41:24.381,338,6,2021-06-30 17:41:24.423,42,,2021-06-30 17:41:24.426,3.0
2021-06-30 17:41:24.481,331,5,2021-06-30 17:41:24.523,42,,2021-06-30 17:41:24.524,1.0
2021-06-30 17:41:24.581,328,6,2021-06-30 17:41:24.631,50,,2021-06-30 17:41:24.642,11.0
2021-06-30 17:41:24.681,334,6,2021-06-30 17:41:24.731,50,,2021-06-30 17:41:24.742,11.0
2021-06-30 17:41:24.782,330,5,2021-06-30 17:41:24.831,50,,2021-06-30 17:41:24.840,9.0
2021-06-30 17:41:24.887,340,6,2021-06-30 17:41:24.938,57,,2021-06-30 17:41:24.945,7.0
2021-06-30 17:41:24.982,340,5,2021-06-30 17:41:25.032,51,,2021-06-30 17:41:25.041,9.0
2021-06-30 17:41:25.082,339,5,2021-06-30 17:41:25.132,51,,2021-06-30 17:41:25.142,10.0
2021-06-30 17:41:25.182,333,5,2021-06-30 17:41:25.231,50,,2021-06-30 17:41:25.237,6.0
2021-06-30 17:41:25.282,345,5,2021-06-30 17:41:25.332,51,,2021-06-30 17:41:25.340,8.0
2021-06-30 17:41:25.381,318,6,2021-06-30 17:41:25.431,50,,2021-06-30 17:41:25.438,7.0
2021-06-30 17:41:25.482,334,5,2021-06-30 17:41:25.545,64,,2021-06-30 17:41:25.547,2.0
2021-06-30 17:41:25.582,336,6,2021-06-30 17:41:25.632,50,,2021-06-30 17:41:25.641,9.0
2021-06-30 17:41:25.682,336,6,2021-06-30 17:41:25.733,52,,2021-06-30 17:41:25.740,7.0
2021-06-30 17:41:25.781,339,6,2021-06-30 17:41:25.833,52,,2021-06-30 17:41:25.842,9.0
2021-06-30 17:41:25.881,336,5,2021-06-30 17:41:25.930,49,,2021-06-30 17:41:25.941,11.0
2021-06-30 17:41:25.982,348,5,2021-06-30 17:41:26.034,53,,2021-06-30 17:41:26.040,6.0
2021-06-30 17:41:26.081,340,6,2021-06-30 17:41:26.132,51,,2021-06-30 17:41:26.141,9.0
2021-06-30 17:41:26.181,362,6,2021-06-30 17:41:26.234,53,,2021-06-30 17:41:26.238,4.0
2021-06-30 17:41:26.281,418,6,2021-06-30 17:41:26.341,60,,2021-06-30 17:41:26.342,1.0
2021-06-30 17:41:26.381,462,6,2021-06-30 17:41:26.438,58,,2021-06-30 17:41:26.443,5.0
2021-06-30 17:41:26.482,477,6,2021-06-30 17:41:26.553,72,,2021-06-30 17:41:26.554,1.0
2021-06-30 17:41:26.582,489,6,2021-06-30 17:41:26.648,67,,2021-06-30 17:41:26.649,1.0
2021-06-30 17:41:26.682,493,6,2021-06-30 17:41:26.741,60,,2021-06-30 17:41:26.743,2.0
2021-06-30 17:41:26.782,500,6,2021-06-30 17:41:26.846,65,,2021-06-30 17:41:26.847,1.0
2021-06-30 17:41:26.882,500,7,2021-06-30 17:41:26.955,73,,2021-06-30 17:41:26.956,1.0
2021-06-30 17:41:26.982,500,7,2021-06-30 17:41:27.054,73,,2021-06-30 17:41:27.055,1.0
