timestamp,protocol,src_addr,src_port,dst_addr,dst_port,length_B
2021-06-30 17:41:16.215111,TCP,192.168.1.7,22,192.168.1.9,45066,594
2021-06-30 17:41:16.259074,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:16.261106,TCP,192.168.1.7,22,192.168.1.9,45066,130
2021-06-30 17:41:16.261137,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:16.262306,TCP,192.168.1.9,45066,192.168.1.7,22,162
2021-06-30 17:41:16.264170,TCP,192.168.1.7,22,192.168.1.9,45066,66
2021-06-30 17:41:16.268377,TCP,192.168.1.7,22,192.168.1.9,45066,114
2021-06-30 17:41:16.268408,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:16.269296,TCP,192.168.1.9,45066,192.168.1.7,22,210
2021-06-30 17:41:16.271236,TCP,192.168.1.7,22,192.168.1.9,45066,66
2021-06-30 17:41:16.272921,TCP,192.168.1.7,22,192.168.1.9,45066,178
2021-06-30 17:41:16.272966,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:17.955566,TCP,192.168.1.7,22,192.168.1.9,45066,226
2021-06-30 17:41:17.955567,TCP,192.168.1.7,22,192.168.1.9,45066,210
2021-06-30 17:41:17.955612,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:17.955645,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:18.160757,TCP,192.168.1.7,22,192.168.1.9,45066,178
2021-06-30 17:41:18.160758,TCP,192.168.1.7,22,192.168.1.9,45066,210
2021-06-30 17:41:18.160790,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:18.160832,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:21.027992,TCP,192.168.1.7,22,192.168.1.9,45066,178
2021-06-30 17:41:21.027992,TCP,192.168.1.7,22,192.168.1.9,45066,162
2021-06-30 17:41:21.027992,TCP,192.168.1.7,22,192.168.1.9,45066,210
2021-06-30 17:41:21.028027,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:21.028068,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:21.028082,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:21.028275,TCP,192.168.1.7,22,192.168.1.9,45066,210
2021-06-30 17:41:21.028297,TCP,192.168.1.9,45066,192.168.1.7,22,78
2021-06-30 17:41:21.334667,TCP,192.168.1.7,47500,192.168.1.9,22,74
2021-06-30 17:41:21.334714,TCP,192.168.1.9,22,192.168.1.7,47500,74
2021-06-30 17:41:21.336488,TCP,192.168.1.7,47500,192.168.1.9,22,66
2021-06-30 17:41:21.337413,TCP,192.168.1.7,47500,192.168.1.9,22,90
2021-06-30 17:41:21.337440,TCP,192.168.1.9,22,192.168.1.7,47500,66
2021-06-30 17:41:21.344597,TCP,192.168.1.9,22,192.168.1.7,47500,107
2021-06-30 17:41:21.346094,TCP,192.168.1.7,47500,192.168.1.9,22,66
2021-06-30 17:41:21.346102,TCP,192.168.1.9,22,192.168.1.7,47500,1146
2021-06-30 17:41:21.349249,TCP,192.168.1.7,47500,192.168.1.9,22,706
2021-06-30 17:41:21.349250,TCP,192.168.1.7,47500,192.168.1.9,22,66
