timestamp,protocol,src_addr,src_port,dst_addr,dst_port,length_B
2021-06-24 17:23:16.150476,TCP,192.168.1.7,22,192.168.1.9,46688,594
2021-06-24 17:23:16.194715,TCP,192.168.1.9,46688,192.168.1.7,22,66
2021-06-24 17:23:16.197346,TCP,192.168.1.7,22,192.168.1.9,46688,130
2021-06-24 17:23:16.197376,TCP,192.168.1.9,46688,192.168.1.7,22,66
2021-06-24 17:23:16.198588,TCP,192.168.1.9,46688,192.168.1.7,22,162
2021-06-24 17:23:16.200341,TCP,192.168.1.7,22,192.168.1.9,46688,66
2021-06-24 17:23:16.204833,TCP,192.168.1.7,22,192.168.1.9,46688,114
2021-06-24 17:23:16.204863,TCP,192.168.1.9,46688,192.168.1.7,22,66
2021-06-24 17:23:16.205775,TCP,192.168.1.9,46688,192.168.1.7,22,242
2021-06-24 17:23:16.207326,TCP,192.168.1.7,22,192.168.1.9,46688,66
2021-06-24 17:23:16.208700,TCP,192.168.1.7,22,192.168.1.9,46688,178
2021-06-24 17:23:16.208745,TCP,192.168.1.9,46688,192.168.1.7,22,66
2021-06-24 17:23:17.992818,TCP,192.168.1.7,22,192.168.1.9,46688,226
2021-06-24 17:23:17.992819,TCP,192.168.1.7,22,192.168.1.9,46688,210
2021-06-24 17:23:17.992819,TCP,192.168.1.7,22,192.168.1.9,46688,210
2021-06-24 17:23:17.992866,TCP,192.168.1.9,46688,192.168.1.7,22,66
2021-06-24 17:23:17.992896,TCP,192.168.1.9,46688,192.168.1.7,22,66
2021-06-24 17:23:17.992906,TCP,192.168.1.9,46688,192.168.1.7,22,78
2021-06-24 17:23:18.022319,TCP,192.168.1.7,22,192.168.1.9,46688,178
2021-06-24 17:23:18.022349,TCP,192.168.1.9,46688,192.168.1.7,22,66
2021-06-24 17:23:18.023750,TCP,192.168.1.7,22,192.168.1.9,46688,210
2021-06-24 17:23:18.023768,TCP,192.168.1.9,46688,192.168.1.7,22,66
2021-06-24 17:23:20.860004,TCP,192.168.1.7,22,192.168.1.9,46688,178
2021-06-24 17:23:20.860004,TCP,192.168.1.7,22,192.168.1.9,46688,162
2021-06-24 17:23:20.860004,TCP,192.168.1.7,22,192.168.1.9,46688,210
2021-06-24 17:23:20.860039,TCP,192.168.1.9,46688,192.168.1.7,22,66
2021-06-24 17:23:20.860081,TCP,192.168.1.9,46688,192.168.1.7,22,66
2021-06-24 17:23:20.860095,TCP,192.168.1.9,46688,192.168.1.7,22,66
2021-06-24 17:23:21.167176,TCP,192.168.1.7,41338,192.168.1.9,22,74
2021-06-24 17:23:21.167222,TCP,192.168.1.9,22,192.168.1.7,41338,74
2021-06-24 17:23:21.169205,TCP,192.168.1.7,41338,192.168.1.9,22,66
2021-06-24 17:23:21.169960,TCP,192.168.1.7,41338,192.168.1.9,22,90
2021-06-24 17:23:21.169985,TCP,192.168.1.9,22,192.168.1.7,41338,66
2021-06-24 17:23:21.177757,TCP,192.168.1.9,22,192.168.1.7,41338,107
2021-06-24 17:23:21.179318,TCP,192.168.1.7,41338,192.168.1.9,22,66
2021-06-24 17:23:21.179337,TCP,192.168.1.9,22,192.168.1.7,41338,1146
2021-06-24 17:23:21.181646,TCP,192.168.1.7,41338,192.168.1.9,22,706
2021-06-24 17:23:21.181646,TCP,192.168.1.7,41338,192.168.1.9,22,66
2021-06-24 17:23:21.181667,TCP,192.168.1.9,22,192.168.1.7,41338,66
2021-06-24 17:23:21.183566,TCP,192.168.1.7,41338,192.168.1.9,22,90
2021-06-24 17:23:21.183583,TCP,192.168.1.9,22,192.168.1.7,41338,66
2021-06-24 17:23:21.188244,TCP,192.168.1.9,22,192.168.1.7,41338,346
2021-06-24 17:23:21.190350,TCP,192.168.1.7,41338,192.168.1.9,22,66
2021-06-24 17:23:21.267447,TCP,192.168.1.7,41338,192.168.1.9,22,338
2021-06-24 17:23:21.267477,TCP,192.168.1.9,22,192.168.1.7,41338,66
2021-06-24 17:23:21.273045,TCP,192.168.1.9,22,192.168.1.7,41338,914
2021-06-24 17:23:21.274594,TCP,192.168.1.7,41338,192.168.1.9,22,66
2021-06-24 17:23:21.370285,TCP,192.168.1.7,41338,192.168.1.9,22,82
2021-06-24 17:23:21.370315,TCP,192.168.1.9,22,192.168.1.7,41338,66
2021-06-24 17:23:21.374668,TCP,192.168.1.7,41338,192.168.1.9,22,130
2021-06-24 17:23:21.374699,TCP,192.168.1.9,22,192.168.1.7,41338,66
2021-06-24 17:23:21.374894,TCP,192.168.1.9,22,192.168.1.7,41338,130
2021-06-24 17:23:21.376417,TCP,192.168.1.7,41338,192.168.1.9,22,66
