frame_received_at,num_of_descriptors_extracted,extraction_time_ms,detection_ended_at,detection_time_ms,id_of_detected_object,detection_received_at,result_delay_ms
2021-06-24 20:05:08.905,373,6,2021-06-24 20:05:08.952,49,,2021-06-24 20:05:08.953,1.0
2021-06-24 20:05:09.004,361,5,2021-06-24 20:05:09.054,51,,2021-06-24 20:05:09.056,2.0
2021-06-24 20:05:09.103,369,5,2021-06-24 20:05:09.158,56,,2021-06-24 20:05:09.159,1.0
2021-06-24 20:05:09.203,364,5,2021-06-24 20:05:09.247,45,,2021-06-24 20:05:09.248,1.0
2021-06-24 20:05:09.303,374,5,2021-06-24 20:05:09.349,47,,2021-06-24 20:05:09.351,2.0
2021-06-24 20:05:09.403,372,6,2021-06-24 20:05:09.449,46,,2021-06-24 20:05:09.450,1.0
2021-06-24 20:05:09.504,371,5,2021-06-24 20:05:09.549,46,,2021-06-24 20:05:09.551,2.0
2021-06-24 20:05:09.603,370,6,2021-06-24 20:05:09.650,48,,2021-06-24 20:05:09.651,1.0
2021-06-24 20:05:09.703,364,6,2021-06-24 20:05:09.748,45,,2021-06-24 20:05:09.752,4.0
2021-06-24 20:05:09.803,367,6,2021-06-24 20:05:09.848,45,,2021-06-24 20:05:09.858,10.0
2021-06-24 20:05:09.903,370,6,2021-06-24 20:05:09.957,54,,2021-06-24 20:05:09.958,1.0
2021-06-24 20:05:10.003,374,6,2021-06-24 20:05:10.058,55,,2021-06-24 20:05:10.059,1.0
2021-06-24 20:05:10.103,370,6,2021-06-24 20:05:10.156,53,,2021-06-24 20:05:10.188,32.0
2021-06-24 20:05:10.203,368,6,2021-06-24 20:05:10.249,46,,2021-06-24 20:05:10.250,1.0
2021-06-24 20:05:10.303,371,6,2021-06-24 20:05:10.360,57,,2021-06-24 20:05:10.364,4.0
2021-06-24 20:05:10.403,367,6,2021-06-24 20:05:10.459,56,,2021-06-24 20:05:10.463,4.0
2021-06-24 20:05:10.504,379,5,2021-06-24 20:05:10.552,49,,2021-06-24 20:05:10.553,1.0
2021-06-24 20:05:10.603,364,6,2021-06-24 20:05:10.658,55,,2021-06-24 20:05:10.659,1.0
2021-06-24 20:05:10.703,374,6,2021-06-24 20:05:10.760,57,,2021-06-24 20:05:10.761,1.0
2021-06-24 20:05:10.803,365,6,2021-06-24 20:05:10.858,55,,2021-06-24 20:05:10.859,1.0
2021-06-24 20:05:10.903,378,6,2021-06-24 20:05:10.960,57,,2021-06-24 20:05:10.961,1.0
2021-06-24 20:05:11.004,367,6,2021-06-24 20:05:11.059,56,,2021-06-24 20:05:11.061,2.0
2021-06-24 20:05:11.103,389,5,2021-06-24 20:05:11.151,49,,2021-06-24 20:05:11.152,1.0
2021-06-24 20:05:11.203,441,6,2021-06-24 20:05:11.266,63,,2021-06-24 20:05:11.267,1.0
2021-06-24 20:05:11.303,474,6,2021-06-24 20:05:11.360,57,,2021-06-24 20:05:11.361,1.0
2021-06-24 20:05:11.403,486,6,2021-06-24 20:05:11.460,57,,2021-06-24 20:05:11.461,1.0
2021-06-24 20:05:11.504,491,6,2021-06-24 20:05:11.564,60,,2021-06-24 20:05:11.567,3.0
2021-06-24 20:05:11.603,500,7,2021-06-24 20:05:11.662,59,,2021-06-24 20:05:11.663,1.0
2021-06-24 20:05:11.704,500,7,2021-06-24 20:05:11.767,63,,2021-06-24 20:05:11.778,11.0
2021-06-24 20:05:11.804,500,7,2021-06-24 20:05:11.868,65,,2021-06-24 20:05:11.870,2.0
2021-06-24 20:05:11.903,500,7,2021-06-24 20:05:11.967,64,,2021-06-24 20:05:11.980,13.0
2021-06-24 20:05:12.003,500,7,2021-06-24 20:05:12.075,72,,2021-06-24 20:05:12.081,6.0
2021-06-24 20:05:12.103,500,7,2021-06-24 20:05:12.175,73,,2021-06-24 20:05:12.181,6.0
2021-06-24 20:05:12.203,500,7,2021-06-24 20:05:12.272,69,,2021-06-24 20:05:12.282,10.0
2021-06-24 20:05:12.303,500,7,2021-06-24 20:05:12.367,65,,2021-06-24 20:05:12.374,7.0
2021-06-24 20:05:12.403,500,7,2021-06-24 20:05:12.465,63,,2021-06-24 20:05:12.466,1.0
2021-06-24 20:05:12.504,500,8,2021-06-24 20:05:12.566,63,,2021-06-24 20:05:12.570,4.0
2021-06-24 20:05:12.603,500,7,2021-06-24 20:05:12.675,73,,2021-06-24 20:05:12.679,4.0
2021-06-24 20:05:12.704,500,8,2021-06-24 20:05:12.764,61,,2021-06-24 20:05:12.765,1.0
2021-06-24 20:05:12.803,500,7,2021-06-24 20:05:12.875,72,,2021-06-24 20:05:12.879,4.0
2021-06-24 20:05:12.903,500,8,2021-06-24 20:05:12.968,65,,2021-06-24 20:05:12.976,8.0
2021-06-24 20:05:13.003,500,8,2021-06-24 20:05:13.076,73,,2021-06-24 20:05:13.078,2.0
2021-06-24 20:05:13.104,500,7,2021-06-24 20:05:13.174,71,,2021-06-24 20:05:13.178,4.0
2021-06-24 20:05:13.203,500,7,2021-06-24 20:05:13.263,60,,2021-06-24 20:05:13.264,1.0
2021-06-24 20:05:13.303,500,7,2021-06-24 20:05:13.373,70,,2021-06-24 20:05:13.377,4.0
2021-06-24 20:05:13.403,500,7,2021-06-24 20:05:13.463,61,,2021-06-24 20:05:13.464,1.0
2021-06-24 20:05:13.503,500,7,2021-06-24 20:05:13.563,61,,2021-06-24 20:05:13.567,4.0
2021-06-24 20:05:13.604,500,6,2021-06-24 20:05:13.674,71,,2021-06-24 20:05:13.677,3.0
2021-06-24 20:05:13.703,500,8,2021-06-24 20:05:13.763,60,,2021-06-24 20:05:13.764,1.0
2021-06-24 20:05:13.803,500,7,2021-06-24 20:05:13.862,59,,2021-06-24 20:05:13.863,1.0
2021-06-24 20:05:13.904,500,7,2021-06-24 20:05:13.975,71,,2021-06-24 20:05:13.978,3.0
2021-06-24 20:05:14.003,500,7,2021-06-24 20:05:14.075,73,,2021-06-24 20:05:14.081,6.0
2021-06-24 20:05:14.103,500,7,2021-06-24 20:05:14.175,72,,2021-06-24 20:05:14.178,3.0
2021-06-24 20:05:14.204,500,6,2021-06-24 20:05:14.263,60,,2021-06-24 20:05:14.266,3.0
2021-06-24 20:05:14.303,500,7,2021-06-24 20:05:14.374,72,,2021-06-24 20:05:14.378,4.0
2021-06-24 20:05:14.403,500,7,2021-06-24 20:05:14.464,61,,2021-06-24 20:05:14.465,1.0
2021-06-24 20:05:14.503,500,8,2021-06-24 20:05:14.564,61,,2021-06-24 20:05:14.571,7.0
2021-06-24 20:05:14.603,500,7,2021-06-24 20:05:14.674,71,,2021-06-24 20:05:14.677,3.0
2021-06-24 20:05:14.704,500,7,2021-06-24 20:05:14.775,71,,2021-06-24 20:05:14.780,5.0
2021-06-24 20:05:14.803,500,7,2021-06-24 20:05:14.870,67,,2021-06-24 20:05:14.881,11.0
2021-06-24 20:05:14.903,500,7,2021-06-24 20:05:14.975,72,,2021-06-24 20:05:14.983,8.0
2021-06-24 20:05:15.003,500,7,2021-06-24 20:05:15.075,72,,2021-06-24 20:05:15.082,7.0
2021-06-24 20:05:15.104,500,7,2021-06-24 20:05:15.174,71,,2021-06-24 20:05:15.181,7.0
2021-06-24 20:05:15.203,500,8,2021-06-24 20:05:15.275,72,,2021-06-24 20:05:15.284,9.0
2021-06-24 20:05:15.304,500,7,2021-06-24 20:05:15.377,73,,2021-06-24 20:05:15.382,5.0
2021-06-24 20:05:15.403,500,7,2021-06-24 20:05:15.463,61,,2021-06-24 20:05:15.467,4.0
2021-06-24 20:05:15.503,500,7,2021-06-24 20:05:15.564,62,,2021-06-24 20:05:15.577,13.0
2021-06-24 20:05:15.604,500,7,2021-06-24 20:05:15.675,72,,2021-06-24 20:05:15.680,5.0
2021-06-24 20:05:15.703,500,7,2021-06-24 20:05:15.775,73,,2021-06-24 20:05:15.778,3.0
2021-06-24 20:05:15.803,500,7,2021-06-24 20:05:15.862,60,,2021-06-24 20:05:15.863,1.0
2021-06-24 20:05:15.903,500,7,2021-06-24 20:05:15.975,73,,2021-06-24 20:05:15.979,4.0
2021-06-24 20:05:16.003,500,7,2021-06-24 20:05:16.075,72,,2021-06-24 20:05:16.079,4.0
2021-06-24 20:05:16.103,500,7,2021-06-24 20:05:16.176,73,,2021-06-24 20:05:16.180,4.0
2021-06-24 20:05:16.203,500,7,2021-06-24 20:05:16.275,72,,2021-06-24 20:05:16.282,7.0
2021-06-24 20:05:16.303,500,7,2021-06-24 20:05:16.375,72,,2021-06-24 20:05:16.380,5.0
2021-06-24 20:05:16.403,500,7,2021-06-24 20:05:16.471,69,,2021-06-24 20:05:16.482,11.0
2021-06-24 20:05:16.503,500,7,2021-06-24 20:05:16.574,72,,2021-06-24 20:05:16.577,3.0
2021-06-24 20:05:16.604,500,6,2021-06-24 20:05:16.673,70,,2021-06-24 20:05:16.676,3.0
2021-06-24 20:05:16.703,500,7,2021-06-24 20:05:16.764,61,,2021-06-24 20:05:16.765,1.0
2021-06-24 20:05:16.804,500,7,2021-06-24 20:05:16.864,61,,2021-06-24 20:05:16.864,0.0
2021-06-24 20:05:16.903,500,7,2021-06-24 20:05:16.965,62,13.0,2021-06-24 20:05:16.970,5.0
