timestamp,protocol,src_addr,src_port,dst_addr,dst_port,length_B
2021-06-30 20:26:22.686310,TCP,192.168.1.7,22,192.168.1.9,43712,594
2021-06-30 20:26:22.727079,TCP,192.168.1.9,43712,192.168.1.7,22,66
2021-06-30 20:26:22.728880,TCP,192.168.1.7,22,192.168.1.9,43712,130
2021-06-30 20:26:22.728914,TCP,192.168.1.9,43712,192.168.1.7,22,66
2021-06-30 20:26:22.730159,TCP,192.168.1.9,43712,192.168.1.7,22,162
2021-06-30 20:26:22.732002,TCP,192.168.1.7,22,192.168.1.9,43712,66
2021-06-30 20:26:22.735811,TCP,192.168.1.7,22,192.168.1.9,43712,114
2021-06-30 20:26:22.735843,TCP,192.168.1.9,43712,192.168.1.7,22,66
2021-06-30 20:26:22.736817,TCP,192.168.1.9,43712,192.168.1.7,22,210
2021-06-30 20:26:22.738688,TCP,192.168.1.7,22,192.168.1.9,43712,66
2021-06-30 20:26:22.740039,TCP,192.168.1.7,22,192.168.1.9,43712,178
2021-06-30 20:26:22.740085,TCP,192.168.1.9,43712,192.168.1.7,22,66
2021-06-30 20:26:24.426859,TCP,192.168.1.7,22,192.168.1.9,43712,226
2021-06-30 20:26:24.426859,TCP,192.168.1.7,22,192.168.1.9,43712,210
2021-06-30 20:26:24.426905,TCP,192.168.1.9,43712,192.168.1.7,22,66
2021-06-30 20:26:24.426939,TCP,192.168.1.9,43712,192.168.1.7,22,66
2021-06-30 20:26:24.631332,TCP,192.168.1.7,22,192.168.1.9,43712,178
2021-06-30 20:26:24.631332,TCP,192.168.1.7,22,192.168.1.9,43712,210
2021-06-30 20:26:24.631350,TCP,192.168.1.9,43712,192.168.1.7,22,66
2021-06-30 20:26:24.631372,TCP,192.168.1.9,43712,192.168.1.7,22,66
2021-06-30 20:26:27.498985,TCP,192.168.1.7,22,192.168.1.9,43712,178
2021-06-30 20:26:27.498986,TCP,192.168.1.7,22,192.168.1.9,43712,162
2021-06-30 20:26:27.498986,TCP,192.168.1.7,22,192.168.1.9,43712,210
2021-06-30 20:26:27.498986,TCP,192.168.1.7,22,192.168.1.9,43712,210
2021-06-30 20:26:27.499021,TCP,192.168.1.9,43712,192.168.1.7,22,66
2021-06-30 20:26:27.499063,TCP,192.168.1.9,43712,192.168.1.7,22,66
2021-06-30 20:26:27.499076,TCP,192.168.1.9,43712,192.168.1.7,22,66
2021-06-30 20:26:27.499085,TCP,192.168.1.9,43712,192.168.1.7,22,78
2021-06-30 20:26:27.806376,TCP,192.168.1.7,36652,192.168.1.9,22,74
2021-06-30 20:26:27.806421,TCP,192.168.1.9,22,192.168.1.7,36652,74
2021-06-30 20:26:27.808701,TCP,192.168.1.7,36652,192.168.1.9,22,66
2021-06-30 20:26:27.809704,TCP,192.168.1.7,36652,192.168.1.9,22,90
2021-06-30 20:26:27.809730,TCP,192.168.1.9,22,192.168.1.7,36652,66
2021-06-30 20:26:27.817010,TCP,192.168.1.9,22,192.168.1.7,36652,107
2021-06-30 20:26:27.818579,TCP,192.168.1.7,36652,192.168.1.9,22,66
2021-06-30 20:26:27.818589,TCP,192.168.1.9,22,192.168.1.7,36652,1146
2021-06-30 20:26:27.820907,TCP,192.168.1.7,36652,192.168.1.9,22,66
2021-06-30 20:26:27.820907,TCP,192.168.1.7,36652,192.168.1.9,22,706
2021-06-30 20:26:27.820933,TCP,192.168.1.9,22,192.168.1.7,36652,66
